LPS, LS, LP, PS, LPSLow, LSLow
0.25358,0.80827,0.38203,0.79905,0.47425,0.18299
0,0,0.11784,0.67607,0,0
0,0.89309,0,0.84555,0,1.2455
0.11387,0.83343,0.5776,0.70439,0.39814,0.79108
0,0.89539,0.55645,0.8068,0.24764,0
0.12993,1.0401,0,0.75652,0.52236,0.88629
0.13188,1.0424,0,0.77929,0,0
0.23006,0.68606,0.11352,0.63071,0,0
0.18803,0,0.41757,0.60226,0.3046,0
0.14462,1.0387,0,0.80626,0,1.1227
0.1353,0,0,0.81226,0.25778,0
0.18859,1.1008,0.36656,0.82544,0,0
0.089418,0.94518,0.21091,0.81733,0,0
0.1784,1.0909,0,0.78075,0,0.92324
0.17561,0.4626,0.21997,0.70884,0.48951,0
0,0,0.34438,0.77821,0,0
0.13535,0,0.34809,0.76344,0.17986,0
0,0,0.46935,0.70986,0.22599,0
0.22205,0,0,0.86275,0.3973,0
0.18294,0.1597,0.31163,0.77525,0.40883,0.96062
0,1.1921,0.39917,0.81873,0.41068,0.43236
0,1.1493,0.37222,0.8459,0.26159,0
0,0.83608,0.39465,0.85725,0,0.43442
0.13488,0.91964,0,0.82009,0.23235,0.64904
0.23959,1.102,0.16638,0.68838,0.3335,0
0.24617,1.1358,0.28305,0.83781,0,1.0224
0.31039,0,0.25298,0.78365,0.19971,0.53589
0.20574,1.0408,0.19849,0.78576,0.24351,0
0.28865,1.208,0,0.81492,0.42271,0.56482
0,0,0,0.68547,0,0
0,0,0,0.86044,0.18095,0
0.30541,0.9114,0.32833,0.81891,0.17846,1.2564
0,1.0207,0.33158,0.57909,0,0.51264
0.29752,0,0.17828,0.78118,0,0.58341
0,0,0.2758,0.69726,0,0
0,0.33237,0,0.76892,0.41098,0
0.17224,1.1243,0.18699,0.75075,0,0.99326
0.15206,0.58214,0.1828,0.73796,0,0.94513
0,0,0,0.78232,0.40553,0.98232
0,0.79217,0,0.80657,0.15511,0
0.36841,0.89853,0.15254,0.79869,0.089691,1.0903
0.30396,0.79517,0.24539,0.69726,0.3268,1.272
0,0,0,0.83616,0.31,0
0,0,0.30341,0.68156,0,0.28045
0,0.99609,0.21067,0.76097,0.26405,0
0.22785,1.1364,0.2956,0.69953,0.59215,0
0,0.83679,0,0.48475,0.27022,0.73208
0.38664,0,0,0.79446,0.42044,0
0.22889,0,0.40815,0.84177,0.039242,1.0338
