Short, Intermediate, Long
0.6094,0.46975,0
0,0,0.43187
0.7427,0,0
0.10811,0,0.27501
0.43241,0.45658,0
0,0.39592,0
0.5832,0.45176,0.28706
0,0,0.36406
0,0,0
0.61745,0.39534,0
0.44114,0,0.16589
0.04505,0.36834,0.49341
0.48069,0.33526,0
0,0,0.18732
0.60526,0,0
0,0,0.34299
0.40851,0,0.41949
0,0.17848,0.27132
0,0.48213,0
0.45519,0,0.34176
0,0.56368,0
0.43273,0.16029,0
0.23436,0.55499,0.35144
0,0,0.35026
0.23094,0.51971,0
0,0.32582,0
0,0.54877,0.37117
0.30047,0.48795,0
0,0,0.24673
0.31782,0.39683,0
0.56476,0.23979,0
0.22323,0.34224,0.32112
0.53959,0.59764,0.31012
0,0,0.54301
0.56415,0.42163,0.45841
0.45825,0,0.26791
0.43209,0.43834,0.19411
0.60043,0.58513,0.42604
0.55011,0.63116,0
0.48732,0.20564,0.18693
0,0,0.25929
0.39645,0,0.43369
0,0,0
0,0.12623,0
0,0.57615,0
0.67049,0,0.46048
0,0.56749,0
0.46377,0.64438,0
0.6917,0.58348,0
0.85317,0.41221,0.42116
0.69255,0.79282,0
0.26547,0,0.29274
0.68719,0.18215,0
0,0,0.2694
0.89611,0,0
0,0,0
0,0.59831,0
0,0.20723,0.51886
0.40662,0.49979,0.34835
0.57661,0.49107,0.35467
0.50889,0.52676,0.56903
0.3435,0,0.27276
0.45468,0.60093,0.53099
0,0.22,0.095601
0.63857,0,0.18261
0,0,0
0,0.46238,0.33339
0.59189,0.46094,0
0.31472,0,0
0,0,0
0,0,0
0.69895,0.13454,0
0.29142,0,0
0.57516,0.19167,0
0.76057,0.33323,0
0.27851,0,0
0,0,0
0.82688,0.65359,0.33037
0,0.22953,0.52871
0,0.28492,0
0.3407,0.54829,0
0,0.54546,0.53165
0.3326,0.57796,0
0,0,0.40327
0.45368,0,0
0,0.044565,0
0,0.53098,0
0.86607,0.64945,0.24113
0.30806,0,0
0.56067,0.24679,0.60014
0.52074,0.24435,0
0.25847,0.16318,0
0.54226,0,0
0.39839,0.57205,0
0.37947,0.75115,0.57819
0.71551,0,0
0,0.62605,0
0.68107,0.39065,0
0.53586,0.5052,0
0,0.78562,0
0.68814,0.33373,0.22782
0,0,0.70692
0.578,0.67922,0
0.71957,0.38909,0
0.47293,0.60925,0.72657
0.43666,0.3258,0
0.65989,0,0.44089
0.39102,0.33194,0
0,0.46278,0.48307
0.78703,0,0
0.58971,0.20077,0
0,0.27881,0.10354
0.49611,0.29306,0
0.45953,0,0
0.4743,0.0904,0.44991
0.59966,0.57481,0
0,0,0
0.51891,0,0.54866
0,0.29734,0.6309
0.55437,0,0.52762
0,0.20878,0
0,0,0
0.62973,0.059237,0
0,0.35685,0
0.70882,0.18344,0
0.45916,0.32835,0.17197
0,0.5293,0.51185
0,0.50281,0
0,0,0.31975
0,0,0
0.15179,0.2814,0.39387
0.22161,0,0
0.70702,0.36562,0.42094
0,0,0
0.69018,0,0.54019
0,0,0
0,0,0
0.11558,0,0.38478
0,0.026354,0.57536
0.46537,0.70407,0.35171
0,0,0
0.42268,0.49976,0.47496
0.44625,0.67831,0
0,0.26187,0.56063
0,0,0
