Short, Interm., Long
0.72513,2.0504,2.0568
1.6096,2.1095,1.6687
1.2019,1.5169,1.2558
0.58957,0.49999,1.0552
1.1247,1.8631,0.82806
1.3794,0.75818,1.4572
1.5679,0.31605,1.629
1.8261,1.6605,1.1457
1.4258,1.0304,0.84781
1.4363,1.6687,1.4453
0.77482,0.39688,0.99595
2.2259,1.2183,1.3513
0.76897,2.1475,1.1735
1.112,0.81388,2.1408
0.64683,0.65237,2.3071
1.9297,1.0747,1.0951
0.99091,1.1047,1.6656
0.84226,1.3553,1.4803
1.7702,2.0224,1.1639
1.3519,1.3437,1.3487
1.0111,0.32434,2.764
0.86717,0.19679,0.95899
1.3585,1.3688,1.4924
1.1243,0.96766,1.2831
1.2093,1.4676,0.5295
1.5649,1.718,0.48944
1.2065,1.7259,1.2018
1.5532,0.83857,1.5867
0.79856,0.83162,0.824
2.7681,1.258,1.606
1.4386,0.80092,1.5262
1.5361,1.2342,1.2017
0.48974,1.4817,1.8744
0.83558,1.5682,1.7687
1.9276,1.1381,2.0537
1.0778,1.0258,0.75078
1.047,4.2443,1.6751
1.5129,1.0341,1.8393
1.6187,2.2432,2.0157
1.2117,2.3461,1.14
1.6975,1.6453,1.407
1.2712,2.4817,1.6823
1.4227,0.90762,1.2926
0.99986,1.6206,1.149
1.0286,1.7539,1.1487
0.80538,1.5634,1.2205
1.5149,1.5518,1.7557
0.41403,1.6583,2.7001
1.0487,2.082,1.43
1.1339,1.3772,1.4306
1.1751,2.2279,0.8297
1.9332,1.9764,1.094
0.79895,0.68835,1.6976
1.5051,3.7211,0.81299
1.7481,1.5562,1.2728
1.0204,2.0523,1.3241
0.37609,0.68686,1.9013
1.3046,2.7075,0.40815
1.8543,1.5175,1.8427
0.98918,0.91586,1.8327
0.8985,2.4308,0.92062
2.122,1.8596,1.2287
1.4,1.6289,1.0597
1.5726,1.7681,1.5176
0.63428,2.0008,1.3758
1.1736,2.0139,1.5747
2.4871,1.3379,1.0367
0.98833,1.637,1.5926
0.83374,1.1794,1.1855
2.9163,1.2421,1.575
1.652,1.5982,1.0622
1.578,2.2448,1.2222
2.1039,1.4106,0.81771
2.6533,1.1528,1.3666
0.59695,1.7613,1.5859
1.3384,1.5737,1.305
1.3998,0.84,1.2512
1.0019,2.9073,1.3417
1.034,0.72392,1.5951
2.8488,2.556,1.6211
0.21864,1.0188,1.0199
0.4063,0.83212,2.0239
1.021,2.0578,1.7093
0.80449,1.3547,1.2632
0.58684,1.546,1.9938
1.4457,0.86674,1.6985
0.30676,1.2612,1.4174
1.2699,1.4591,1.617
0.54734,2.9785,1.119
1.7138,1.1068,1.2094
2.4842,1.6826,1.0433
1.4486,1.5224,1.4211
0.80484,1.0907,1.2927
2.3271,1.3118,1.1577
0.95047,1.8775,2.0534
1.7145,2.1833,0.89391
0.82576,1.3994,1.4027
1.1073,1.1942,2.1855
1.2691,1.1249,1.2785
-0.19392,1.0762,1.2059
1.46,1.5515,2.1769
0.66374,2.9785,1.2852
2.176,2.2456,1.9496
1.2274,1.1163,1.2192
2.1283,1.8154,1.4401
2.2403,1.0536,1.7596
2.8085,0.78988,1.0239
1.6684,1.3287,0.97828
1.7744,0.73407,0.51387
1.7156,1.8231,0.32469
1.0382,1.5532,0.95261
1.7914,1.4114,1.0195
1.246,1.5019,1.0279
1.4506,1.1891,1.7183
1.2007,0.65711,1.29
0.46529,0.82216,1.1996
1.3461,1.282,1.6151
0.79729,1.6696,1.982
2.2726,0.89499,1.8453
0.079788,2.7704,1.0974
1.7728,1.4239,1.755
1.8476,2.4685,1.0969
1.6697,1.5496,0.86412
1.91,0.84124,1.7905
0.52324,2.7406,1.9135
0.82672,1.6351,1.2569
1.3801,1.1277,1.6527
0.99272,1.1911,0.96879
0.71037,1.393,1.9056
0.16157,1.6365,1.6438
0.95316,1.3297,1.3417
0.49721,1.8156,2.2374
0.68406,1.2278,1.3743
1.2865,1.4604,0.90783
0.72902,1.32,1.0167
2.2424,1.0266,1.0617
1.345,1.8183,0.3638
1.6153,0.28318,1.8349
1.3372,0.47813,1.3064
0.69556,2.096,1.8728
0.98265,1.5124,1.843
0.57864,2.2836,0.93394
-0.33975,1.3437,1.183
0.96153,0.25944,1.0198
0.95285,1.8221,1.0616
2.1836,1.5725,1.4562
1.2348,1.0653,1.5298
1.7949,1.3811,1.5717
1.4786,1.0022,1.4402
1.7081,1.5269,2.0887
0.93022,1.639,1.1749
2.0304,2.4892,1.0762
1.81,0.55462,1.5171
2.1394,1.8059,0.60783
1.4403,1.5012,1.2605
2.1903,1.8575,2.2842
1.5784,1.372,0.88265
0.4096,0.71272,1.2951
2.0008,1.9001,0.8789
1.9534,1.0989,1.7776
1.3352,1.57,1.7194
1.505,1.59,1.2145
0.72385,1.1991,0.35145
1.0179,0.86093,1.5513
1.1467,1.2566,1.2576
1.3946,1.6088,0.66904
1.1143,1.8844,1.3981
1.4382,1.4089,1.0411
1.8166,1.2121,1.5892
3.301,0.6088,1.5546
1.9664,0.7219,2.0686
1.2297,2.2215,0.88707
2.1255,1.4401,1.2874
1.7883,0.83973,1.189
2.1334,0.59893,1.2565
0.91405,1.5642,1.4382
2.3444,2.167,2.3647
2.3117,2.6927,0.96874
0.41713,0.9582,0.95467
2.741,1.9929,1.8197
0.51639,1.2849,1.5257
0.90824,1.8413,1.0773
2.8481,1.0434,1.0028
1.2396,1.3431,1.9521
0.83005,2.0909,0.67251
1.5413,1.5086,1.1798
1.2691,0.67201,1.6702
1.42,1.0366,0.61339
2.2626,2.3544,1.3753
0.81745,0.93576,1.1395
1.9929,2.656,1.3431
0.82929,1.071,0.79631
1.0662,2.2015,1.3201
1.6054,1.5222,1.2211
2.0955,0.87959,1.0441
1.746,2.7827,0.97913
0.78144,0.25842,1.3949
1.3048,1.4527,1.1209
1.1233,2.0469,1.1954
-0.53426,1.1177,1.583
0.63085,0.78396,1.1754
1.782,1.5493,1.3102
1.028,1.5347,1.2097
1.3721,1.5621,0.62302
1.4813,0.69488,1.0458
0.84906,1.9477,1.2617
1.2,1.6081,1.931
1.3419,0.9977,1.5271
1.3705,1.3551,2.3396
1.9912,0.23716,0.9766
0.98538,1.9351,1.1075
1.6256,1.329,1.2635
1.7925,0.62811,1.3197
1.3208,1.4736,1.5625
0.95528,2.6372,0.91797
1.679,1.5313,1.1561
1.2079,1.8108,1.868
0.68926,1.6367,0.90634
0.68955,1.0864,1.1651
1.8069,1.2448,1.908
0.76474,0.56587,2.365
2.0633,1.6788,1.3999
1.4841,2.3732,1.7743
1.7231,1.1744,1.5202
1.0301,1.5892,1.7243
1.5826,0.63038,1.3882
1.6933,1.1977,0.80543
2.6249,0.86139,1.6969
1.1065,1.6031,1.2066
2.2057,0.93686,1.2028
0.45104,0.68255,1.3793
-0.64164,1.6983,1.3225
1.0686,1.5647,1.1597
1.2396,1.3135,2.1773
0.45952,0.67191,0.74994
1.3288,0.78738,1.904
0.89115,0.66577,1.1154
1.6178,1.6288,0.76482
1.0429,1.2574,1.0383
0.70816,1.5381,1.0141
0.51027,1.0185,1.8285
1.4124,0.7502,1.5658
0.70476,1.9693,1.3414
0.70721,1.53,1.1834
1.5151,0.80673,1.8387
0.67767,1.3706,1.7165
0.70854,1.8585,1.913
1.087,1.0429,0.85884
1.5034,1.8624,0.9221
1.0384,0.79739,1.5402
1.143,1.6082,2.2904
2.5515,1.6361,1.7386
