Short, Intermediate, Long
0.89407,0.93292,0.76713
0.93325,0.75357,0.78933
0.92322,0.77198,0.89236
0.90628,0.78953,0.87829
0.80479,0.69566,0.97823
0.77919,0.8671,0.82855
0.80009,0.82147,0.84185
0.70723,0.83056,0.75189
0.77098,0.81175,0.84748
0.69906,0.86267,0.91359
0.86747,0.75259,0.88805
0.78408,0.77152,0.7874
0.91817,0.87715,0.76203
0.95885,0.68905,0.81644
1.0179,0.70311,0.8429
0.9529,0.8017,0.73065
0.91941,0.84033,0.94126
0.96204,0.79666,0.95916
0.85743,0.79153,0.93882
0.95193,0.94249,0.80986
0.93367,0.93677,0.74336
0.80693,1.0027,0.8826
0.83639,0.85204,0.83389
0.778,0.80296,0.89584
0.86914,0.80855,0.81787
0.80026,0.79878,0.71593
0.9421,0.92263,0.80604
0.82939,0.88636,0.83588
0.82984,0.9812,0.76992
0.85694,0.85002,0.98231
0.86302,0.80195,0.92915
0.79729,0.87512,0.86605
0.72013,0.82366,0.75254
0.75027,0.83633,0.80978
0.78572,1.0414,0.81025
0.81681,0.8519,0.79971
0.77716,0.96315,0.86369
1.0116,0.77834,0.87119
0.82719,0.8994,0.75871
0.8142,0.91302,0.8421
0.8415,0.87985,0.82037
0.82795,0.80824,0.81676
0.72064,0.82817,0.79067
0.72871,0.87253,0.82003
0.81664,0.78774,0.83876
0.67884,0.83758,0.79634
0.88027,0.85904,0.7966
0.84407,0.79137,0.81952
0.85238,0.82284,0.82716
0.87125,0.81692,0.83001
0.80543,0.77936,0.83249
0.77015,0.9602,0.94376
0.78458,0.86146,0.84308
0.74904,0.83147,0.81042
0.77927,1.0002,0.74566
0.78043,0.80736,0.90394
0.76092,0.84989,0.92309
0.88588,0.72827,0.81654
0.95293,0.78272,0.82076
0.89678,0.82345,0.78481
0.77143,0.85723,0.72685
0.95307,0.78355,0.92969
0.71471,0.9505,0.91339
0.84831,0.80663,0.74041
0.84552,0.83241,0.76052
0.84217,1.0002,0.89369
0.90395,0.92246,0.85758
0.83195,0.78559,0.91266
0.85371,0.90544,0.86788
0.72507,0.77053,0.75645
0.87681,0.92348,1.0103
0.93758,0.75636,0.86225
0.75511,0.76615,0.91494
0.83272,0.86531,0.72277
0.824,0.85772,0.88706
0.84462,0.91844,0.75903
0.66083,0.82852,0.94431
0.70982,0.8438,0.89872
0.81642,0.84475,0.80229
0.82307,0.93343,0.91868
0.82854,0.9478,0.83386
0.68629,0.84295,0.94217
0.73555,0.72318,0.82198
0.76626,0.94683,0.99979
0.76132,0.7989,0.79996
0.88128,0.85426,0.72494
0.85389,0.76835,0.77494
0.80472,0.84117,0.87029
0.89377,0.7884,0.76981
0.90863,0.82147,0.82141
0.89017,0.84251,0.87681
1.0339,0.83154,0.83808
0.73244,0.8013,0.81091
0.76326,0.80207,0.80965
0.8212,0.95853,0.84889
0.83566,0.93127,0.86192
0.84551,0.85775,0.82675
0.80967,0.89188,0.81102
0.73009,0.80042,0.8115
0.70595,0.7182,0.81509
0.81162,0.76566,0.84818
0.74251,0.8862,0.72272
0.85214,0.71276,0.85915
1.0317,0.9626,0.82851
0.87,0.99177,0.85315
0.83307,0.79603,0.79729
0.91583,0.8364,0.87868
0.8698,0.84142,0.76835
0.96977,0.98517,0.8385
0.90215,0.87338,0.88239
0.80196,0.72474,0.88603
0.7002,0.74423,0.93359
0.77189,0.75325,0.80943
0.86299,0.81789,0.85328
0.94094,0.88229,0.80211
0.73537,0.92812,0.81334
