Short, Interm., Long
1.0651,1.4579,0.60791
1.6914,1.3742,0.65736
0.68137,0.69879,1.9064
0.40808,0.95089,1.6935
2.7635,0.92809,0.66695
1.2475,0.76001,0.713
0.98761,0.89871,0.050961
1.3896,1.2463,0.67674
-0.2794,0.73742,1.371
1.3302,0.57399,0.17288
1.178,0.93617,0.41149
0.18261,0.8791,1.4882
0.87578,1.5143,0.9481
2.1165,1.2487,1.2129
1.2573,0.82313,1.2616
1.2717,0.436,1.0564
0.26607,1.8831,1.2551
1.2023,2.0393,0.91896
1.6338,0.94981,1.5922
0.9626,1.3152,0.15247
0.56701,0.77479,0.5741
2.1518,1.2698,0.76938
0.84587,0.77618,1.1567
1.4219,1.0446,1.1589
0.86295,0.37197,1.0242
1.112,0.79311,2.8595
1.0201,0.67909,0.6832
1.501,0.36864,1.6968
0.34823,0.6966,0.70184
1.6884,0.42231,1.3377
0.68674,1.2593,0.57535
1.5366,0.69717,1.4768
1.1089,1.633,0.78872
0.75417,1.0703,0.56406
1.3223,0.93901,0.71227
1.6026,1.3328,1.2573
0.67925,0.84255,1.9649
0.48595,0.47048,1.1351
0.55891,1.2332,0.74167
1.1702,0.47319,0.29009
0.088235,1.1407,0.94103
1.542,0.77934,1.3661
0.65838,1.4686,0.98598
0.70932,0.69645,0.31294
0.3449,0.37857,1.0578
0.094412,1.113,1.2641
1.2449,0.99363,1.0943
0.53483,0.89062,0.38836
0.46435,2.0383,0.64137
0.34008,1.3328,1.2046
0.83106,0.33356,0.38237
1.6367,0.54059,0.85931
1.1933,1.1151,1.7307
1.5396,0.65921,0.94447
0.62367,0.39827,0.3443
0.99117,1.3892,0.68179
1.1484,0.88153,0.84132
0.38783,1.2132,0.91309
1.6479,1.1508,1.0114
0.40292,0.6784,0.75792
1.5859,1.1113,0.94571
0.34574,0.56695,1.3085
0.95728,0.89743,0.59293
0.35858,1.5409,0.42267
0.85022,0.064216,0.42848
0.56492,0.27004,0.5025
1.1188,1.2892,0.86979
0.98293,1.1045,1.161
0.7705,0.59814,0.94933
1.9395,0.65377,0.98369
1.1049,0.90261,0.43636
1.7381,1.6709,1.2292
0.32397,0.76696,0.27793
0.44624,1.3238,1.4306
0.43372,1.9323,0.91655
1.1833,1.2575,0.78645
0.75728,0.51291,0.83718
1.784,0.66009,0.90163
0.86953,0.9588,1.0515
0.43531,0.54823,0.69448
0.43486,0.73931,0.32927
-0.024903,1.15,1.188
1.0331,0.68371,0.63364
0.55957,0.9907,0.87201
0.61112,1.2102,0.93861
0.77439,0.71034,1.526
0.06305,0.94374,1.3962
1.2622,0.74233,0.46298
0.7707,0.76309,1.1084
1.7511,1.2716,0.96768
0.83032,1.1738,0.72299
0.80009,0.75345,0.34309
1.345,1.0113,0.43017
2.3451,0.61498,0.71289
2.2943,0.79618,0.60911
1.3373,1.532,1.5003
1.1217,0.658,0.59095
0.98692,0.89857,0.6681
0.62444,1.5067,0.79084
1.1984,1.2526,0.42834
0.68586,0.9474,0.18443
0.094155,1.0063,0.16276
0.97098,1.1277,1.0488
0.79049,1.328,0.54971
1.4069,1.2988,1.3005
1.6056,0.8768,0.85147
0.79036,0.25564,0.71004
1.2647,1.7594,1.2005
0.95825,0.76777,1.0549
1.6148,0.79667,0.74166
0.23339,0.5369,1.1003
0.62117,0.97026,1.4089
0.43193,0.02278,0.3289
1.4915,0.84745,1.5469
0.74171,0.3679,1.0258
0.36606,0.67961,0.79469
0.0088336,1.087,0.89533
1.9717,0.8698,1.1674
1.0558,0.82816,1.2716
1.3817,0.11045,0.88662
0.82456,1.0932,1.3354
1.1072,1.3152,1.509
1.1263,1.062,0.72163
0.42101,1.6717,0.34331
1.101,0.30064,0.74751
0.54538,0.54442,0.62272
1.2098,0.32955,1.0641
1.0929,0.63046,0.9535
0.071546,0.95926,1.4161
0.96458,0.49824,0.21717
0.68628,1.5094,0.57779
0.30958,0.8113,0.68754
1.3235,0.91249,1.6102
1.823,1.6285,0.83318
0.83081,0.61561,0.92126
0.67522,0.66964,0.83685
0.48123,0.6511,0.7709
0.77294,0.70323,1.1772
0.34569,0.75513,1.1712
0.36709,1.3505,1.2333
0.72562,1.3411,0.82537
0.94989,0.78566,0.65239
0.51633,0.92082,0.76601
0.98479,0.99913,0.45385
1.3821,0.66686,1.2726
0.45623,0.69863,0.99351
1.3006,1.5718,0.5539
0.73453,0.96792,1.2688
0.81416,1.0533,0.99992
0.57256,1.2188,0.7171
0.31461,0.62865,1.1167
1.0209,1.6405,1.0639
-0.18976,0.61783,0.58515
1.0477,1.4147,1.1195
0.63699,0.83731,0.32286
0.87927,0.48148,1.1237
0.37953,1.5819,0.48124
0.0027285,1.0421,0.56369
1.2419,1.6914,0.78248
0.072791,1.157,1.2771
1.4023,1.015,0.64623
0.83596,1.093,1.3757
1.2604,0.82148,0.81339
2.2736,0.63316,1.3651
1.3602,0.96167,1.6265
1.0207,0.36967,0.75881
1.6675,1.3687,0.72373
0.90297,0.33441,1.0549
1.1045,1.2582,0.83959
0.82321,0.95828,0.57758
1.3345,0.50792,0.51393
1.4672,1.0097,0.27406
0.4273,0.55544,0.45458
0.50779,0.87707,1.2532
1.7541,0.68972,1.6151
3.025,0.73873,0.73875
1.5448,1.3395,0.39426
1.5634,1.0316,1.1188
0.75867,0.5464,0.82408
0.70897,1.3055,0.86244
1.139,0.75457,0.081841
0.44602,1.0594,0.41786
0.78669,0.69417,0.66388
0.5093,0.26059,0.33583
-0.0092432,2.3791,1.0176
0.27016,0.40059,0.80681
0.82644,0.75053,0.64033
1.0942,1.2194,0.62305
0.38391,0.51705,0.41383
1.7453,0.46009,0.50045
0.16861,1.1737,1.6961
0.61961,1.3227,0.51236
1.0283,0.85619,1.7431
0.49987,0.9287,1.3671
0.73564,1.2475,0.79923
0.14367,0.70889,-0.029299
1.0426,0.78685,0.8377
0.95293,1.259,0.92106
0.51333,0.87575,0.4625
