Short, Intermediate, Long
0.95069,-0.35794,0.33032
0.17328,1.6315,0.51605
0.39315,0.84377,1.2161
1.3528,0.60824,0.19479
0.56734,0.92958,1.0297
0.79064,1.5822,0.2907
1.6224,1.607,1.8598
1.1163,1.2632,1.5659
1.106,0.88956,0.84759
0.85025,0.26225,0.55741
0.11592,1.1362,1.333
1.3534,0.29486,0.42792
0.83853,1.4123,1.5592
1.0515,1.5517,1.0429
0.86816,1.1612,1.1055
-0.28738,1.3368,0.53802
1.2294,0.44378,1.4082
1.3946,1.3902,0.7352
1.3071,1.0332,1.0697
1.3992,0.89558,0.98473
1.2454,1.6439,1.1176
0.87653,0.85352,0.68063
1.3489,2.0176,0.82693
-1.0665,1.2665,0.70867
1.5473,1.3614,0.99935
0.70158,1.0288,0.21499
0.43803,1.3263,1.1238
1.4751,0.76658,1.4354
1.3029,1.3501,0.83049
0.70136,1.5359,1.2251
1.7982,1.2384,-0.95934
-0.25627,1.524,1.6305
0.67606,0.47549,1.0723
0.21904,1.3295,1.7419
-0.11859,0.017441,1.2472
-1.7596,-0.54705,0.89648
1.7531,1.6851,0.73862
-0.099963,1.1859,-0.80327
-0.22706,0.74438,0.69842
1.3563,-0.63913,1.1324
0.031618,-0.3924,0.82032
1.0168,1.3548,0.14455
1.1474,0.54812,0.86363
0.73849,0.36003,1.6076
0.58788,1.0362,0.70503
1.4138,1.0285,0.94926
-0.15994,1.3394,0.50258
1.8036,-1.118,0.88968
0.0082071,1.494,0.769
0.42129,0.71748,-0.33173
1.5932,0.32758,0.083482
0.66417,0.98892,1.3031
-0.49114,1.4566,1.2254
0.5597,0.3437,1.022
1.4287,1.3311,0.62901
1.6313,-0.34014,1.1674
1.973,0.44493,1.3469
-0.44721,0.35698,0.4596
1.322,0.91976,1.2018
1.3344,0.78708,0.27367
1.6137,0.94678,0.86459
1.0634,0.57652,0.99901
1.0696,0.98613,0.51448
0.24668,-0.083709,1.2309
0.95434,1.5045,-0.0090874
0.86013,-0.39152,0.98761
1.2342,0.90713,1.2454
-0.61813,0.93625,1.2482
0.96848,-0.60254,1.2567
1.3993,0.64552,0.96152
1.5333,0.20085,1.1262
1.8511,1.7302,0.92305
0.89367,1.0915,0.90407
1.7723,0.99301,0.66661
-0.38726,1.1778,0.95611
1.1099,0.70057,0.23778
0.09029,1.108,0.54109
1.2125,1.0069,1.3333
0.074502,1.2335,1.1318
0.88139,0.55796,1.5078
1.3473,1.2509,1.1573
1.1502,1.5103,1.2191
0.51879,2.1868,1.2907
0.96208,0.92495,0.30623
0.34188,0.8951,1.0066
0.99133,0.5069,1.0219
0.13943,2.0833,1.1258
0.20842,1.2959,0.77875
-0.12725,1.0784,0.93874
1.5165,1.044,0.35835
0.4919,0.66472,1.0919
-0.1554,0.71983,0.91712
1.3686,1.1878,0.50755
0.26693,1.222,1.0102
0.85487,0.020527,-0.13935
1.11,0.93093,1.3446
0.72164,1.2436,-0.33013
1.0937,-0.20482,1.0543
-0.067722,0.27782,0.76058
1.5419,0.82914,0.72072
1.6756,1.1127,0.42504
1.3053,0.87863,1.3117
0.54296,1.2489,1.8383
0.16668,1.4136,0.85536
0.69679,0.72428,1.0686
1.23,0.51957,0.90056
1.2789,0.35836,0.80316
0.76981,0.34388,1.2292
1.1564,1.2225,0.47011
1.0712,0.27952,1.1084
0.81138,0.52414,0.36358
1.1849,1.4163,0.99095
0.98759,0.2176,-0.22058
0.96212,1.5995,-0.14963
1.6269,1.2766,0.75239
0.98755,1.8158,0.022419
1.1007,0.87354,1.1821
-1.1697,-0.74159,0.61062
1.6301,0.77291,1.3642
0.65846,0.036013,0.73307
-0.034805,0.50215,1.322
-1.185,1.0304,0.99963
0.3923,-1.5905,1.2628
1.2818,0.17474,0.71308
0.36272,-0.14349,1.0182
1.2408,0.2163,1.7927
-0.69439,1.1621,0.87221
0.45016,0.40768,0.4869
1.2004,1.0647,1.6344
0.055571,1.4235,0.072231
1.4258,0.044927,0.34185
1.0243,1.0049,0.93285
0.40741,1.2378,0.7774
0.56152,1.4256,1.1029
0.66021,0.10352,0.88594
1.2704,1.3296,0.98504
-0.2004,0.030594,0.24925
0.64692,0.58069,0.73269
1.1693,0.84731,1.5626
0.58115,1.0133,0.24052
1.238,0.77849,0.94004
1.1818,1.512,0.90096
0.97006,0.44365,0.79429
0.38665,0.96512,0.98236
0.58084,0.77508,-0.37484
-0.40383,1.4168,1.196
-0.42501,0.81358,1.7584
1.2995,1.5475,0.69757
1.3689,1.6609,1.1676
-0.31242,0.26001,1.1438
-0.53925,1.6264,0.82375
1.4852,1.5175,0.8492
0.66739,1.031,0.9821
-0.068366,0.94336,0.15905
0.93474,0.70745,0.79868
1.1225,0.90053,0.94504
0.88626,1.8122,0.018651
1.5012,1.5724,1.1976
0.44877,0.48754,1.0303
-1.0748,-0.68436,1.0042
1.2917,0.63906,0.74016
0.35591,1.2059,0.42473
1.2527,0.76973,1.375
1.0987,1.1352,1.1725
1.1003,1.2007,0.78281
0.77778,1.2172,1.453
0.34274,-0.0094046,-0.82907
0.13532,1.0901,1.0815
1.3073,0.081679,1.1248
0.55448,0.46013,1.574
0.94237,0.70896,1.2561
-0.062451,-0.022181,1.0546
0.85744,0.76662,0.42721
1.3935,1.1655,0.1446
