Short, Interm., Long
0.32473,0.45784,0.35678
0.42494,0.45594,0.10854
0.47353,0.39871,0.3143
0.41998,0.22675,0.2901
0.29932,0.35646,0.089694
0.36086,0.22594,0.26196
0.2553,0.31328,0.29933
0.49423,0.44163,0.29111
0.24039,0.3005,0.25827
0.23427,0.098566,0.23137
0.28124,0.23151,0.29012
0.23532,0.34341,0.21195
0.33897,0.39397,0.22062
0.48757,0.33679,0.36239
0.3916,0.24361,0.27674
0.53254,0.25115,0.29329
0.31742,0.286,0.28646
0.34475,0.3135,0.26837
0.39079,0.30944,0.27643
0.4089,0.50932,0.45783
0.30827,0.25869,0.26554
0.2894,0.25685,0.21218
0.29236,0.50265,0.29824
0.28036,0.24392,0.20784
0.31295,0.31199,0.28793
0.36998,0.3686,0.24257
0.17521,0.28595,0.43136
0.61108,0.37304,0.26723
0.37363,0.1326,0.20274
0.4043,0.3543,0.30718
0.214,0.30318,0.22916
0.21489,0.48045,0.21168
0.3561,0.2166,0.58681
0.50518,0.38892,0.21304
0.4839,0.38982,0.21622
0.55952,0.27898,0.26308
0.30628,0.2847,0.28548
0.28791,0.47553,0.26254
0.45171,0.28092,0.32702
0.42748,0.29213,0.26844
0.28606,0.237,0.21815
0.20633,0.42659,0.14723
0.51162,0.5991,0.31501
0.27697,0.30406,0.19889
0.2757,0.51138,0.33063
0.39767,0.43533,0.30067
0.3098,0.29023,0.38228
0.27471,0.28094,0.33875
0.48466,0.39272,0.25927
0.40056,0.29419,0.22745
0.43534,0.35833,0.13254
0.39506,0.35798,0.30077
0.3896,0.27729,0.24411
0.37755,0.19302,0.38742
0.31065,0.17697,0.41233
0.42679,0.2141,0.24911
0.34505,0.25574,0.34895
0.54062,0.36107,0.36149
0.41205,0.37841,0.34567
0.3756,0.31262,0.41114
0.20925,0.29319,0.309
0.57326,0.37668,0.20141
0.21269,0.42489,0.2794
0.14683,0.28528,0.34088
0.3275,0.4475,0.2108
0.25264,0.31403,0.10872
0.33814,0.38813,0.14362
0.48131,0.45238,0.16227
0.36283,0.26197,0.36091
0.20726,0.40532,0.20494
0.29363,0.45126,0.362
0.38557,0.41305,0.15117
0.40081,0.50641,0.38156
0.28647,0.46278,0.37431
0.47764,0.40077,0.34847
0.36428,0.26138,0.24302
0.26408,0.5455,0.21341
0.32052,0.35091,0.27021
0.23598,0.20767,0.26877
0.21764,0.55507,0.29563
0.44759,0.26288,0.19736
0.40396,0.23783,0.31034
0.19927,0.323,0.34456
0.33084,0.16141,0.26017
0.27403,0.26482,0.17542
0.29063,0.30515,0.24995
0.4799,0.33185,0.46718
0.3775,0.27974,0.18101
0.37649,0.34823,0.27858
0.48262,0.2298,0.15276
0.24741,0.30989,0.18204
0.11838,0.29967,0.38029
0.48428,0.41424,0.2229
0.083782,0.40919,0.3931
0.23469,0.26742,0.22157
0.40346,0.33221,0.15794
0.14665,0.26511,0.45262
0.32338,0.26694,0.28076
0.29264,0.29123,0.19865
0.25824,0.22856,0.19339
0.22112,0.19769,0.11103
0.34139,0.29238,0.28112
0.22168,0.29312,0.41401
0.28655,0.37601,0.3416
0.31212,0.17468,0.22205
0.19854,0.34391,0.34684
0.38608,0.22401,0.35799
0.24621,0.20757,0.21274
0.24091,0.51119,0.32027
0.31397,0.19828,0.22257
0.34016,0.2991,0.28158
0.25395,0.28879,0.18577
0.40567,0.23362,0.40672
0.34981,0.39425,0.33147
0.41815,0.36387,0.32698
0.35976,0.4877,0.30952
0.26963,0.10638,0.37635
0.25981,0.31631,0.20809
0.30418,0.26628,0.21112
0.3164,0.24897,0.14534
0.35687,0.49273,0.26
0.42846,0.33543,0.29864
0.54688,0.29426,0.25351
0.34137,0.49612,0.28017
0.24146,0.43682,0.32904
0.31361,0.25439,0.20417
0.34226,0.51737,0.22821
0.42303,0.4613,0.49393
0.30822,0.25489,0.3348
0.28524,0.2604,0.37624
0.54593,0.34179,0.21338
0.29422,0.2952,0.29234
0.27676,0.31021,0.12255
0.23718,0.52145,0.17692
0.30616,0.39682,0.19242
0.40373,0.52509,0.20268
0.27974,0.2956,0.22889
0.27652,0.28729,0.31437
0.37722,0.36852,0.27433
0.55948,0.336,0.34388
0.56082,0.2925,0.10881
0.14458,0.31022,0.22009
0.34935,0.28172,0.10561
0.4583,0.34425,0.43345
0.22793,0.28897,0.39424
0.31435,0.4834,0.39165
0.25343,0.28894,0.20781
0.25617,0.42857,0.20176
0.46171,0.30519,0.3403
0.21834,0.45975,0.31814
0.28315,0.15988,0.39072
0.2612,0.27113,0.29096
0.28601,0.18845,0.13392
0.17381,0.39856,0.28095
0.23421,0.39423,0.26525
0.26626,0.5144,0.41176
0.35645,0.11017,0.32662
0.26953,0.37048,0.28634
0.36521,0.13984,0.23209
0.35158,0.090576,0.29336
0.41501,0.45483,0.30186
0.35472,0.32764,0.20801
0.24912,0.40342,0.1267
0.40941,0.31132,0.41037
0.3177,0.17873,0.26956
0.31713,0.23371,0.23801
0.65057,0.32349,0.32232
0.26409,0.3143,0.21809
0.16779,0.58749,0.23176
0.46189,0.43004,0.19984
0.35685,0.35161,0.25018
0.51532,0.45359,0.19146
0.33691,0.28899,0.26624
0.19276,0.41355,0.30708
0.35148,0.29798,0.15017
0.16286,0.28853,0.21745
0.31377,0.36374,0.16015
0.349,0.49541,0.3848
0.27595,0.37417,0.19425
0.45105,0.56534,0.24935
0.26953,0.26752,0.42889
0.32134,0.29064,0.48374
0.25273,0.26778,0.2271
0.47932,0.1174,0.19185
0.30884,0.3929,0.19095
0.23543,0.30176,0.20232
0.3309,0.41396,0.19852
0.35785,0.51826,0.33058
0.29393,0.42598,0.40978
0.4334,0.33221,0.21865
0.36637,0.35771,0.30638
0.21091,0.39567,0.24864
0.23014,0.36141,0.19148
0.46112,0.15641,0.2979
0.40875,0.20969,0.1994
0.43421,0.27256,0.2977
0.62006,0.31173,0.44938
0.25338,0.32603,0.22753
0.21578,0.30163,0.26986
0.49122,0.30614,0.3952
0.32151,0.37363,0.17805
0.23342,0.27764,0.39569
0.31117,0.54531,0.10359
0.3085,0.17817,0.25045
0.38344,0.23759,0.23257
0.44109,0.33689,0.28062
0.48809,0.30671,0.17988
0.28255,0.38537,0.23565
0.50672,0.45987,0.29259
0.41099,0.31436,0.12595
0.35782,0.45967,0.17648
0.36725,0.34621,0.34957
