Short, Interm., Long
0.93163,0.81421,0.92942
1.1087,0.86228,0.93055
0.77505,1.0419,1.0083
0.8784,1.3527,0.95643
0.80356,0.98495,0.82463
0.71202,0.67382,0.88445
0.84045,0.96727,0.7712
0.84405,0.69384,0.84702
0.88696,0.51997,0.90225
0.98035,0.84412,0.81913
0.90036,0.83543,0.75965
0.87299,0.93948,0.99711
0.66669,0.5676,0.73613
0.99344,0.82119,0.90804
0.71201,0.99474,0.88639
0.83882,0.74559,1.0519
0.64898,0.6884,1.0223
0.90055,0.81587,0.80727
0.88507,0.80866,0.90212
0.79516,0.85782,0.86541
0.98089,0.97211,0.80083
0.90452,0.96791,0.9152
0.77384,0.50402,1.1363
0.77366,0.4585,0.76118
0.87245,0.96877,0.88667
0.8921,0.84661,0.91815
0.79797,0.91208,0.65322
0.84248,0.89584,0.61601
0.8194,0.93089,0.81143
0.85166,0.79328,0.99224
0.76058,0.74805,0.76171
1.0432,0.79042,0.90247
0.91216,0.72199,0.89914
0.91487,0.86412,0.8885
0.59493,0.82953,1.0362
0.70417,0.98227,0.93054
0.97335,0.82563,1.0511
0.8346,0.84274,0.68357
0.8331,1.2195,0.92553
0.96852,0.79987,0.92472
0.93341,1.1121,0.96887
0.93048,1.018,0.82767
0.98458,0.90171,0.89086
0.85712,1.0206,0.90742
0.8521,0.73223,0.82169
0.78845,0.89109,0.83713
0.81741,0.98687,0.82036
0.68508,0.8708,0.83942
0.87941,0.93265,0.97021
0.57808,1.074,1.0137
0.89803,1.0137,0.89555
0.78377,0.92201,0.85979
0.83421,0.96593,0.70879
1.0475,0.94417,0.79922
0.7326,0.67286,1.0575
0.89386,1.1398,0.7452
0.86822,0.84884,0.90931
0.82056,1.0295,0.86898
0.53305,0.64333,0.93663
0.83354,1.2376,0.57212
0.95778,1.0321,1.0119
0.79664,0.72541,0.96654
0.7935,0.96886,0.73316
0.9215,1.0068,0.82144
0.89428,0.98648,0.81884
0.8679,1.3142,0.88017
0.74038,1.0491,0.82735
0.96075,1.3626,0.96147
1.0708,0.88676,0.80761
0.76849,0.86651,0.90517
0.70937,0.77877,0.88336
1.1878,0.83854,0.89972
0.90963,0.85617,0.77739
0.86981,1.0017,0.83053
1.1719,0.93169,0.7187
1.0126,0.78901,0.86616
0.68554,0.87003,0.98805
0.89792,0.83614,0.83357
0.86304,0.71205,0.80653
0.85072,1.1018,0.85958
0.78897,0.68602,0.8967
1.0738,1.0426,0.94323
0.43109,0.80651,0.7926
0.76801,0.73159,0.95249
0.75895,0.92343,0.92275
0.82654,0.80922,0.88734
0.64525,0.92456,1.0176
0.87071,0.76644,0.91614
0.47554,0.87862,0.87057
0.88294,0.84853,0.93968
0.62135,1.0495,0.82605
0.89934,0.84351,0.87229
1.0011,0.89574,0.87082
0.8675,0.92104,0.89886
0.83277,0.82786,0.81446
0.95138,0.83015,0.83814
0.81795,0.94411,0.92834
0.91198,1.0501,0.74506
0.72119,1.1213,0.89947
0.87721,0.82312,0.97459
0.82422,0.79476,0.95459
0,0.94273,0.84873
0.88039,0.93151,1.0091
0.6551,1.3698,0.84157
0.96061,0.95232,1.0421
0.932,0.83688,0.80393
0.97804,0.97953,0.87988
0.96062,0.82462,1.012
1.0467,0.70012,0.78703
1.0206,0.83746,0.80878
0.93965,0.70956,0.65925
1.3895,0.95753,0.57944
0.78479,0.9431,0.7589
0.94401,0.82977,0.85306
0.89578,0.95299,0.81392
0.87912,0.81905,0.91852
0.80929,0.85885,0.85221
0.5944,0.91498,0.8547
0.83769,0.82509,0.88154
0.76929,0.8964,0.94428
1.0004,0.80368,0.9936
0.27773,1.0885,0.94079
1.0082,0.97376,0.95685
0.95187,0.99274,0.78931
0.8894,0.96778,0.75457
0.93577,0.71154,1.0269
0.66726,1.0485,0.93894
0.78989,1.0003,0.88554
0.86912,0.83479,0.90742
0.87864,0.82708,0.79068
0.72085,0.99309,0.95075
0.38756,0.92205,0.90002
0.74384,0.84784,0.94075
0.59404,1.0325,0.9612
0.66273,0.89895,0.8526
0.87945,0.86246,0.82503
0.72184,0.8303,0.76787
0.97376,0.92246,0.97013
0.89159,1.0766,0.54352
0.99484,0.46068,0.96003
0.81465,0.62701,0.84444
0.72684,0.92848,1.0055
0.74383,0.9248,0.96307
0.79319,1.0006,0.78609
0,0.8322,0.84991
0.84776,0.46199,0.81604
0.72362,0.98773,0.79023
0.98156,0.95452,0.87256
0.9444,0.8205,0.86282
0.89217,1.0207,0.88294
0.88062,0.81043,0.87576
0.92906,0.93645,1.0165
0.71714,0.91667,0.95321
1.0041,1.1463,0.80363
1.1061,0.58538,0.85678
1.0214,0.91927,0.66765
0.84566,0.8885,0.83824
0.9891,1.0757,1.0423
0.89805,0.88273,0.71585
0.66124,0.76413,0.83333
1.1043,0.94873,0.69766
0.95939,0.78342,1.0994
0.87208,1.0264,0.99841
0.99521,0.94496,0.80982
0.6842,0.83073,0.56039
0.83638,0.75499,0.85876
0.80271,0.8415,0.81297
0.85836,0.91458,0.6871
0.77336,1.0078,0.94014
1.0211,0.89651,0.79646
0.95431,0.83638,0.90555
1.2265,0.61384,0.89436
0.92978,0.93857,0.96718
0.90947,0.96294,0.75729
1.1215,0.91263,0.80987
0.92855,0.84537,0.84201
0.9839,0.61661,0.83535
0.73521,1.3571,0.92448
1.0719,1.0029,0.97889
0.97786,1.0987,0.79543
0.56834,0.77241,0.77516
1.0622,0.9536,0.93215
0.62034,0.78174,0.88343
0.77147,0.99987,0.82171
0.96966,0.85047,0.82924
0.95776,0.82158,1.0021
0.75592,0.97508,0.69091
0.90906,0.97505,0.83347
0.95705,0.64001,1.1357
0.87258,0.85619,0.69669
1.0246,1.0653,0.8493
0.84695,0.74083,0.83599
0.97765,1.0588,0.90634
0.80272,0.75274,0.79147
0.90774,0.95764,0.8889
0.86975,0.94578,0.82127
1.0099,0.78656,0.77726
1.0124,1.0636,0.84796
0.82939,0.47147,0.86624
0.84425,0.8549,0.79083
0.87001,0.9537,0.86932
0,0.7969,0.94684
0.95563,0.74626,0.89539
0.91838,0.90829,0.8495
0.88535,0.91072,0.88239
0.85105,0.87093,0.68878
0.8734,0.93063,0.8152
0.71333,0.9008,0.84376
0.84029,0.96333,1.0059
0.85076,0.80282,0.99695
0.91431,0.8965,1.0385
1.0325,0.46093,0.72846
0.73128,0.9465,0.81589
0.89641,0.88698,0.90115
